525425898049110000	1883097643	Heyyy, I know where the adorable @lmartinez7 is on vacation mi amor @ShireenSandoval ....Ohio, I saw her in Facebook, she's my friend too !!	0	32.201996	-110.72555	0	2014-10-24 01:17:50+02	2014-10-24 01:17:50.848299+02	16906	2014-10-24 01:17:50.849317+02	cancer
525425901530784000	1664594317	TGIF !!!! ^^ Have a great day .... (at Kos'an Iqbal) [pic] ??? https://t.co/0N4WCtHeCd	0	-6.42883	107.68298	0	2014-10-24 01:17:51+02	2014-10-24 01:17:51.666953+02	825	2014-10-24 01:17:51.668165+02	malaria
525425903963103000	2471713164	@BrendaMarieMill I'm done helping you act hard when all you do is bitch and cry. Have fun catching Clamydia cause OD is full of it ????	0	32.032936	-102.108745	0	2014-10-24 01:17:52+02	2014-10-24 01:17:52.279132+02	4304	2014-10-24 01:17:52.28023+02	cholera
525425905678967000	2199867292	Tristam - Too Simple	0			0	2014-10-24 01:17:52+02	2014-10-24 01:17:52.628582+02	9017	2014-10-24 01:17:52.629567+02	hepatitis
525425907650294000	1149009806	@whitekvd nan c bon	0	48.896062	2.294822	0	2014-10-24 01:17:52+02	2014-10-24 01:17:53.12031+02	33450	2014-10-24 01:17:53.121425+02	diabetes
525425907910341000	320272068	A lil #tbt to wish @EmilySue016 good luck as she has her first performance with Generally Jazz tonight ???? I love u!!???? http://t.co/TrDVDWBbwy	0	39.131001	-84.511855	0	2014-10-24 01:17:53+02	2014-10-24 01:17:53.660152+02	22409	2014-10-24 01:17:53.66134+02	flu
525425908472365000	376387660	haven't listened to this in a minute http://t.co/P9Im3HoyVA	0	40.611794	-73.933965	0	2014-10-24 01:17:53+02	2014-10-24 01:17:54.094353+02	14958	2014-10-24 01:17:54.09557+02	cancer
525425913794941000	436749553	Why should I give a Fuck ! bitch I'm the Man	0	42.329293	-83.33781	0	2014-10-24 01:17:54+02	2014-10-24 01:17:54.610146+02	16733	2014-10-24 01:17:54.611175+02	cold
525425914768007000	418803404	@TeamVampsMerch ME PLEASE #getvampsusa ???????????????????????? i really love james ???????????? i want it sooo much ?????? really it will means a lot ?????? 178	0	45.63258	9.046559	0	2014-10-24 01:17:54+02	2014-10-24 01:17:54.844292+02	6694	2014-10-24 01:17:54.845342+02	flu
525425915883684000	331650659	morning too beybeh "@NadyaUtami50: Morning???"	0	-6.562097	106.681164	0	2014-10-24 01:17:54+02	2014-10-24 01:17:55.093096+02	3129	2014-10-24 01:17:55.094196+02	fever
525425925216027000	1892549437	my mom &amp; step dad got the iphone 6..... pissed	0	41.746039	-70.648971	0	2014-10-24 01:17:57+02	2014-10-24 01:17:57.313395+02	4379	2014-10-24 01:17:57.314427+02	flu
525425926528832000	210589004	Bless her she's actually come to the platform to meet me awww get me off this traiiiiiiiiiiin	0	51.399298	0.065629	0	2014-10-24 01:17:57+02	2014-10-24 01:17:57.592041+02	17814	2014-10-24 01:17:57.593079+02	cold
525425897084445000	562406758	"@__TheRealJada: @javeonaa_ who ?"Text .	0	29.774143	-95.270114	0	2014-10-24 01:17:50+02	2014-10-24 01:17:50.617412+02	8089	2014-10-24 01:17:50.61862+02	cancer
525425901363003000	1688478421	Cant wait to wake up and open my pressies, best start to a stressful day	0	54.709582	-6.193954	0	2014-10-24 01:17:51+02	2014-10-24 01:17:51.624291+02	4011	2014-10-24 01:17:51.625409+02	fever
525425909101507000	1027288556	y f froid wlh	0	48.446028	2.165961	0	2014-10-24 01:17:53+02	2014-10-24 01:17:53.448371+02	17925	2014-10-24 01:17:53.449474+02	cold
525425912066896000	1594287900	@lovaticf0rever_ sim, TO COM SONO	0			0	2014-10-24 01:17:54+02	2014-10-24 01:17:54.180307+02	89230	2014-10-24 01:17:54.181393+02	cold
525425913073508000	23667182	Excited for #pixelpunch design competition tonight! @ Vox Media, Inc http://t.co/kcBLv0AUcQ	0	38.906118	-77.040775	0	2014-10-24 01:17:54+02	2014-10-24 01:17:54.391895+02	2860	2014-10-24 01:17:54.392993+02	fever
525425913715241000	390337792	"@DualShockers: Check out our #Bayonetta2 Review - 10/10 #WiiU http://t.co/rrx1yaBBd4 http://t.co/uyfgSHtLuM"	0	53.54883	-2.642238	0	2014-10-24 01:17:54+02	2014-10-24 01:17:54.565323+02	3571	2014-10-24 01:17:54.566684+02	flu
525425915850162000	249818911	Stop and go traffic in #NorthSide on The Hardy Tollroad NB between Little York and FM 1960, delay of 24 mins #traffic http://t.co/vuUN2yElDh	0	29.87064	-95.36463	0	2014-10-24 01:17:54+02	2014-10-24 01:17:55.073148+02	51327	2014-10-24 01:17:55.074334+02	diabetes
